ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,FSMEntitl,TotalNOR
5601,E01005761,Stockport 026A,Stockport 026A,62,257
5710,E01005870,Stockport 015A,Stockport 015A,26,209
5711,E01005871,Stockport 015B,Stockport 015B,21,191
5583,E01005743,Stockport 009A,Stockport 009A,12,126
5584,E01005744,Stockport 009B,Stockport 009B,41,168
5585,E01005745,Stockport 005A,Stockport 005A,25,183
5586,E01005746,Stockport 005B,Stockport 005B,44,164
5587,E01005747,Stockport 005C,Stockport 005C,15,199
5589,E01005749,Stockport 009C,Stockport 009C,16,205
5590,E01005750,Stockport 009D,Stockport 009D,20,254
5591,E01005751,Stockport 009E,Stockport 009E,21,210
5592,E01005752,Stockport 012A,Stockport 012A,60,220
5593,E01005753,Stockport 004A,Stockport 004A,168,371
5594,E01005754,Stockport 004B,Stockport 004B,150,339
5595,E01005755,Stockport 004C,Stockport 004C,123,363
5596,E01005756,Stockport 004D,Stockport 004D,170,357
5597,E01005757,Stockport 014A,Stockport 014A,38,232
5598,E01005758,Stockport 014B,Stockport 014B,77,159
5599,E01005759,Stockport 023A,Stockport 023A,33,247
5600,E01005760,Stockport 023B,Stockport 023B,66,314
5602,E01005762,Stockport 026B,Stockport 026B,157,348
5603,E01005763,Stockport 026C,Stockport 026C,102,330
5604,E01005764,Stockport 016A,Stockport 016A,49,240
5605,E01005765,Stockport 018A,Stockport 018A,11,200
5606,E01005766,Stockport 014C,Stockport 014C,44,207
5608,E01005768,Stockport 025A,Stockport 025A,12,193
5609,E01005769,Stockport 022A,Stockport 022A,10,126
5611,E01005771,Stockport 025C,Stockport 025C,9,201
5612,E01005772,Stockport 028B,Stockport 028B,14,186
5613,E01005773,Stockport 028C,Stockport 028C,9,163
5614,E01005774,Stockport 028D,Stockport 028D,35,208
5617,E01005777,Stockport 034A,Stockport 034A,36,232
5618,E01005778,Stockport 022B,Stockport 022B,15,150
5619,E01005779,Stockport 022C,Stockport 022C,13,216
5620,E01005780,Stockport 022D,Stockport 022D,9,233
5621,E01005781,Stockport 022E,Stockport 022E,71,230
5622,E01005782,Stockport 030A,Stockport 030A,9,124
5623,E01005783,Stockport 030B,Stockport 030B,24,200
5625,E01005785,Stockport 030D,Stockport 030D,21,252
5628,E01005788,Stockport 034C,Stockport 034C,8,221
5630,E01005790,Stockport 034D,Stockport 034D,27,177
5631,E01005791,Stockport 039B,Stockport 039B,16,255
5633,E01005793,Stockport 039C,Stockport 039C,16,256
5635,E01005795,Stockport 039D,Stockport 039D,10,193
5636,E01005796,Stockport 039E,Stockport 039E,7,176
5637,E01005797,Stockport 023C,Stockport 023C,26,173
5638,E01005798,Stockport 027A,Stockport 027A,8,110
5639,E01005799,Stockport 026D,Stockport 026D,193,518
5640,E01005800,Stockport 023D,Stockport 023D,21,209
5641,E01005801,Stockport 027B,Stockport 027B,20,243
5644,E01005804,Stockport 023E,Stockport 023E,34,180
5649,E01005809,Stockport 037B,Stockport 037B,8,166
5650,E01005810,Stockport 037C,Stockport 037C,12,144
5654,E01005814,Stockport 033C,Stockport 033C,7,164
5655,E01005815,Stockport 033D,Stockport 033D,8,189
5656,E01005816,Stockport 016B,Stockport 016B,63,237
5657,E01005817,Stockport 016C,Stockport 016C,40,184
5658,E01005818,Stockport 018B,Stockport 018B,96,299
5659,E01005819,Stockport 018C,Stockport 018C,12,191
5660,E01005820,Stockport 018D,Stockport 018D,39,216
5661,E01005821,Stockport 018E,Stockport 018E,29,207
5662,E01005822,Stockport 016D,Stockport 016D,66,189
5663,E01005823,Stockport 018F,Stockport 018F,69,247
5664,E01005824,Stockport 024A,Stockport 024A,21,214
5665,E01005825,Stockport 019A,Stockport 019A,24,175
5666,E01005826,Stockport 024B,Stockport 024B,110,340
5667,E01005827,Stockport 024C,Stockport 024C,8,203
5668,E01005828,Stockport 024D,Stockport 024D,118,327
5669,E01005829,Stockport 024E,Stockport 024E,47,216
5670,E01005830,Stockport 027E,Stockport 027E,9,191
5671,E01005831,Stockport 027F,Stockport 027F,28,234
5672,E01005832,Stockport 021A,Stockport 021A,12,182
5673,E01005833,Stockport 021B,Stockport 021B,18,124
5674,E01005834,Stockport 031A,Stockport 031A,54,237
5676,E01005836,Stockport 031B,Stockport 031B,28,256
5677,E01005837,Stockport 021D,Stockport 021D,15,222
5678,E01005838,Stockport 031C,Stockport 031C,42,230
5680,E01005840,Stockport 031D,Stockport 031D,20,196
5681,E01005841,Stockport 035D,Stockport 035D,16,188
5682,E01005842,Stockport 038A,Stockport 038A,12,187
5683,E01005843,Stockport 021E,Stockport 021E,10,181
5684,E01005844,Stockport 036A,Stockport 036A,12,171
5685,E01005845,Stockport 036B,Stockport 036B,14,227
5686,E01005846,Stockport 040A,Stockport 040A,34,249
5687,E01005847,Stockport 040B,Stockport 040B,22,248
5688,E01005848,Stockport 040C,Stockport 040C,11,178
5689,E01005849,Stockport 036C,Stockport 036C,8,176
5690,E01005850,Stockport 040D,Stockport 040D,40,259
5691,E01005851,Stockport 036D,Stockport 036D,13,171
5693,E01005853,Stockport 011A,Stockport 011A,59,281
5694,E01005854,Stockport 013B,Stockport 013B,10,259
5696,E01005856,Stockport 011B,Stockport 011B,14,246
5697,E01005857,Stockport 013D,Stockport 013D,10,219
5698,E01005858,Stockport 013E,Stockport 013E,9,117
5701,E01005861,Stockport 011D,Stockport 011D,15,197
5702,E01005862,Stockport 003A,Stockport 003A,9,211
5703,E01005863,Stockport 006A,Stockport 006A,8,191
5705,E01005865,Stockport 008B,Stockport 008B,7,214
5709,E01005869,Stockport 006D,Stockport 006D,18,215
5712,E01005872,Stockport 019B,Stockport 019B,41,260
5713,E01005873,Stockport 015C,Stockport 015C,26,223
5714,E01005874,Stockport 019C,Stockport 019C,48,188
5715,E01005875,Stockport 015D,Stockport 015D,12,223
5716,E01005876,Stockport 019D,Stockport 019D,23,212
5717,E01005877,Stockport 019E,Stockport 019E,26,194
5718,E01005878,Stockport 020A,Stockport 020A,66,277
5719,E01005879,Stockport 020B,Stockport 020B,23,160
5720,E01005880,Stockport 017A,Stockport 017A,8,181
5724,E01005884,Stockport 020D,Stockport 020D,9,166
5726,E01005886,Stockport 001A,Stockport 001A,34,156
5727,E01005887,Stockport 002A,Stockport 002A,86,319
5728,E01005888,Stockport 001B,Stockport 001B,39,159
5729,E01005889,Stockport 001C,Stockport 001C,30,162
5730,E01005890,Stockport 002B,Stockport 002B,87,277
